1700,4908,1757,1637,1703,4926,3099,3314,163,4754,2124,1744,3326,4332,2418,1456,1472,1118,1401,102,3202,4669
010000,000001,001110,010000,010100,011000,011000,010000,101000,011000,010000,111100,010000,010100,110100,111100,001100,100100,011010,010010,010000,001000
001000,000010,011110,010000,011000,011000,010000,010000,101000,011000,011000,111100,010000,010100,110100,011100,001100,101100,011110,010010,010010,001000
001000,000010,001110,010000,010100,001000,010000,010100,101000,011000,010000,011100,010000,010100,110100,111100,001100,101100,011010,000001,010010,000001
001000,000010,001110,010000,010100,001000,010000,010000,101000,011000,011000,011100,010000,010100,010100,111100,001100,100100,011110,000010,010010,001000
001000,000010,001110,010000,010100,001100,011000,010000,101000,011000,010000,011100,010000,010100,110100,111100,001100,100100,011010,010010,010010,001000
001000,000001,001110,010000,011000,011000,011000,010000,101000,011000,011000,011100,010000,010100,010100,111100,001100,100100,011010,000001,010010,000001
001000,000010,001110,010000,010100,011000,011000,010000,101000,011000,010000,011100,010000,010100,010100,111100,001100,100100,011010,010010,010010,001000
001000,000010,101110,010000,010100,001000,010000,010000,001000,011000,011000,011100,010000,010100,110100,111100,001100,101100,011010,010010,010010,001000
001000,000010,001110,010000,010100,011000,011000,010000,101000,011000,010000,011100,010000,010100,110100,111100,001100,100100,011010,000010,010010,001000
001000,000001,101110,010000,010100,011000,010000,010100,101000,011000,010000,111100,010000,010100,010100,111100,001100,100100,011010,000001,010010,001000
